Mission Name,Apogee (m),Time to Apogee (s),Max Ascent Velocity (m/s),Max Descent Velocity (m/s),Max G-Shock (Gs),Touchdown Shock (Gs),Mission Duration (s),Min Temperature (°C),Max Temperature (°C),Min Pressure (hPa),Max Pressure (hPa),Lapse Rate (°C/100m),Telemetry Frames,Landing Lat,Landing Lon
01_nominal_sounding_flight,798.91,198.4,4.88,-6.35,4.0,1.02,358.4,19.8,25.05,920.78,1013.32,0.657,449,22.576131,88.370046
02_high_altitude_burst_1200m,1197.2,233.6,6.02,-7.96,5.21,1.01,421.6,17.84,26.55,877.32,1013.31,0.727,528,22.578404,88.371758
03_severe_wind_shear_drift,646.15,140.0,6.01,-6.36,1.16,1.12,299.2,19.72,24.05,937.39,1013.34,0.67,375,22.580317,88.382951
04_apogee_ejection_shock_tumble,596.8,130.4,5.76,-5.81,6.08,1.01,279.2,21.09,25.05,943.35,1013.37,0.663,350,22.575782,88.369241
05_parachute_pendulum_resonance,495.84,110.4,5.91,-5.6,1.03,1.01,259.2,21.23,24.55,954.75,1013.35,0.669,325,22.575215,88.368425
06_delayed_chute_deployment,647.0,109.6,7.82,-22.36,5.46,1.01,259.2,20.73,25.05,937.76,1013.37,0.667,325,22.575165,88.36837
07_thermal_inversion_sounding,745.44,149.6,6.19,-6.49,1.01,1.01,319.2,20.0,24.52,926.46,1013.32,0.606,400,22.575674,88.369015
08_sensor_glitch_gps_recovery,595.68,120.0,6.59,-6.93,1.01,1.01,259.2,21.1,25.05,943.23,1013.34,0.663,325,22.575222,88.368654
09_low_battery_voltage_sag,495.61,109.6,5.85,-6.09,1.01,1.01,239.2,21.77,25.05,954.78,1013.34,0.661,300,22.57489,88.36807
10_ground_pad_static_test,0.26,8.8,0.03,-0.02,1.0,1.0,179.2,25.01,25.62,1013.17,1013.33,6.1,225,22.5727,88.3655
